target_protocol,target_size,alpha,F_top_1pct,R50_baseline,R50_after_top1pct,relative_drop
alpha 0.05,17,0.05,0.3269607925446396,0.04458982343582057,0.006957824022018312,0.843959372657465
alpha 0.15,17,0.15,0.39065650208785,0.04458982343582057,0.0072156843183323926,0.8381764321467176
alpha 0.3,17,0.3,0.5185812409861055,0.04458982343582057,0.00762012953537809,0.8291060841192617
