perturbation_type,level,n,R_baseline_mean,R_after_mean,Delta_R_mean,Delta_R_std,Relative_drop_mean
correlated_block,0.05,20,0.04193826599658524,0.015471369837708745,0.026466896158876457,0.0004898046306403115,0.6310918091136979
edge_drop,0.01,20,0.04190189951965208,0.015433422027544368,0.02646847749210767,0.00017936120476007625,0.6316772698978456
edge_drop,0.05,20,0.04170478447464298,0.015423190300110651,0.026281594174532286,0.00048325604222088894,0.6301817526598613
edge_drop,0.1,20,0.0414730918482165,0.01544647527158447,0.026026616576632,0.0005773396090403138,0.627554286810455
weight_noise,0.01,20,0.04194562063422771,0.01543828742518503,0.026507333209042628,1.3732649089541161e-05,0.6319451901830389
weight_noise,0.05,20,0.04194020659372201,0.015445479520564385,0.026494727073157604,6.770277098282904e-05,0.6317261936693362
weight_noise,0.1,20,0.04193706906797269,0.015454932647953046,0.026482136420019564,0.0001332567948535244,0.6314732290207651
