Protocol,n sets,|T|,F mean,F sd,R50 mean,drop mean,drop sd
Descending neurons,1,17,0.39065650208785,,0.04458982343582057,0.8381764321467176,
"Random targets, size 17",10,17,0.4198384644458265,0.007238659307258656,0.012990694813481923,0.6273555911342518,0.05964093303222691
"Random enlarged targets, size 250",5,250,0.35012000837570134,0.0036548986958578147,0.2040790251085228,0.6378731492649312,0.018459892940161603
"Random enlarged targets, size 2500",5,2500,0.2660091347085283,0.0006638583767823932,0.7740476485375135,0.443206219875573,0.005497562500268925
