Metric,REAL_Value,Synth_Mean,Synth_Std,Z_Score,Empirical_P
Fragility,0.629293708992667,-0.004066111171149036,0.009550504284483024,66.3168981760318,p < 0.0200
Flux_Concentration,0.3881261144659135,0.25354911288595255,0.0068624843266126955,19.610536822367912,p < 0.0200
DN_Enrichment,6.002237876568121,5.31156574861791,3.1085348406709277,0.2221857445230181,0.7600
