null,n,reach_sd,solver_median,solver_max,ks,wdist
N0,50,0.0002482530137129,5.335482673354898e-10,1.517734605589021e-09,,
N1,50,0.0004196102781516,3.9981430868353856e-09,7.117896167116548e-09,0.0044575023624918,0.0024811812054595
N2,50,0.0002982527434586,2.4827097570850194e-09,9.61119466101489e-09,0.0529846256048864,0.0874173772067379
