metric,real,N0_mean,N0_percentile,N1_mean,N1_percentile,N2_mean,N2_percentile
E_total_eta_1.0,357817655571.22003,485718347609.8222,0.0,345413641403.6751,100.0,372774334820.1248,0.0
L_global_cap_100000,2518.7983637110324,2568.5116646610404,4.0,3457.2354289006244,0.0,2936.045207852354,0.0
reachability,0.9754858704775844,0.9752034952542884,91.0,0.9660185523965304,100.0,0.9712110711749132,100.0
