Model,deg_mean,deg_p95,str_mean,str_p95,reciprocity,rich_club_1,rich_club_5,modularity_proxy
REAL,134.1668206414148,308.9499999999971,522.4914434032819,1338.0,0.2785163092270635,0.10233334946991335,0.02974861550059439,1.07560591538143
N2_Base,130.45381067333392,175.0,512.2020001724287,733.0,0.014317967595395978,0.010871355625102948,0.009383048350205384,0.7387028074592039
Generated (f=0.001),130.4569037222324,175.0,512.2141444388495,733.7,0.014321899832053842,0.0108934592545387,0.009381235627136561,0.7387028074592038
Generated (f=0.005),130.47040215618333,176.0,512.2671434645827,735.7549999999995,0.01434132970730446,0.010945975855123705,0.00946081091147788,0.7387028074592038
Generated (f=0.01),130.49009258100705,177.0,512.3444541611955,738.4,0.014371036268274365,0.011046306234239576,0.009538397842622604,0.7387028074592038
Generated (f=0.02),130.5306171172777,179.0,512.5035660217593,745.1,0.014460849875300183,0.011255792444215266,0.009638840741972415,0.7387028074592038
Generated (f=0.05),130.66729177481943,186.0,513.0401929903735,769.3150000000002,0.014838278506443994,0.011340827705269965,0.009782133665011798,0.7387028074592038
