bodyId,compartment,evidence_source,neuron_type
50564,lobula,roi_field,
50565,medulla,roi_field,
50567,medulla,roi_field,
50569,medulla,roi_field,
50571,medulla,roi_field,
50573,medulla,roi_field,
50576,unknown,none,
50584,medulla,roi_field,
50585,lobula_plate,roi_field,
50587,medulla,roi_field,
50589,medulla,roi_field,
50592,lobula_plate,roi_field,
50596,lobula,roi_field,
50600,medulla,roi_field,
50602,medulla,roi_field,
50603,medulla,roi_field,
50604,lobula,roi_field,
50607,lobula_plate,roi_field,
50610,lobula,roi_field,
50613,lobula_plate,roi_field,
50614,lobula,roi_field,
50619,lobula,roi_field,
50621,medulla,roi_field,
50626,medulla,roi_field,
50627,lobula,roi_field,
50630,medulla,roi_field,
50633,medulla,roi_field,
50634,lobula,roi_field,
50636,medulla,roi_field,
50637,medulla,roi_field,
50643,lobula_plate,roi_field,
50644,medulla,roi_field,
50645,medulla,roi_field,
50647,medulla,roi_field,
50650,lobula,roi_field,
50651,medulla,roi_field,
50654,medulla,roi_field,
50655,lobula,roi_field,
50657,lobula_plate,roi_field,
50658,lobula,roi_field,
50662,unknown,none,
50663,lobula,roi_field,
50665,medulla,roi_field,
50666,medulla,roi_field,
50667,medulla,roi_field,
50668,lobula,roi_field,
50670,medulla,roi_field,
50672,medulla,roi_field,
50673,medulla,roi_field,
50675,medulla,roi_field,
50678,lobula,roi_field,
50679,medulla,roi_field,
50681,medulla,roi_field,
50682,medulla,roi_field,
50683,lobula,roi_field,
50684,medulla,roi_field,
50686,lobula,roi_field,
50688,unknown,none,
50693,lobula,roi_field,
50697,lobula,roi_field,
50702,medulla,roi_field,
50703,medulla,roi_field,
50707,medulla,roi_field,
50710,unknown,none,
50711,lobula_plate,roi_field,
50713,medulla,roi_field,
50716,medulla,roi_field,
50719,lobula,roi_field,
50722,lobula,roi_field,
50723,medulla,roi_field,
50724,lobula,roi_field,
50728,medulla,roi_field,
50729,medulla,roi_field,
50732,unknown,none,
50734,medulla,roi_field,
50736,lobula,roi_field,
50738,lobula_plate,roi_field,
50739,medulla,roi_field,
50741,lobula,roi_field,
50742,medulla,roi_field,
50751,medulla,roi_field,
50753,medulla,roi_field,
50763,medulla,roi_field,
50764,medulla,roi_field,
50767,lobula_plate,roi_field,
50769,medulla,roi_field,
50771,medulla,roi_field,
50777,medulla,roi_field,
50779,medulla,roi_field,
50781,medulla,roi_field,
50782,medulla,roi_field,
50786,lobula,roi_field,
50787,medulla,roi_field,
50788,medulla,roi_field,
50789,lobula_plate,roi_field,
50790,medulla,roi_field,
50795,medulla,roi_field,
50796,lobula,roi_field,
50799,medulla,roi_field,
50801,medulla,roi_field,
50805,lobula_plate,roi_field,
50806,medulla,roi_field,
50807,medulla,roi_field,
50812,medulla,roi_field,
50813,medulla,roi_field,
50814,medulla,roi_field,
50816,lobula,roi_field,
50817,medulla,roi_field,
50822,medulla,roi_field,
50829,medulla,roi_field,
50831,medulla,roi_field,
50836,medulla,roi_field,
50837,medulla,roi_field,
50838,medulla,roi_field,
50840,lobula,roi_field,
50842,medulla,roi_field,
50844,medulla,roi_field,
50847,medulla,roi_field,
50853,medulla,roi_field,
50856,lobula,roi_field,
50857,medulla,roi_field,
50864,medulla,roi_field,
50870,medulla,roi_field,
50871,medulla,roi_field,
50873,medulla,roi_field,
50875,medulla,roi_field,
50877,lobula_plate,roi_field,
50879,medulla,roi_field,
50882,lobula_plate,roi_field,
50883,medulla,roi_field,
50884,lobula_plate,roi_field,
50886,medulla,roi_field,
50887,medulla,roi_field,
50889,medulla,roi_field,
50890,lobula,roi_field,
50893,medulla,roi_field,
50899,medulla,roi_field,
50900,lobula,roi_field,
50902,medulla,roi_field,
50904,lobula,roi_field,
50909,medulla,roi_field,
50915,medulla,roi_field,
50916,medulla,roi_field,
50918,medulla,roi_field,
50924,lobula,roi_field,
50926,medulla,roi_field,
50928,medulla,roi_field,
50938,lobula,roi_field,
50942,medulla,roi_field,
50944,medulla,roi_field,
50946,lobula,roi_field,
50947,medulla,roi_field,
50949,lobula,roi_field,
50950,medulla,roi_field,
50951,medulla,roi_field,
50953,lobula_plate,roi_field,
50955,medulla,roi_field,
50956,medulla,roi_field,
50957,medulla,roi_field,
50959,lobula,roi_field,
50961,lobula,roi_field,
50962,medulla,roi_field,
50963,lobula,roi_field,
50966,lobula,roi_field,
50971,lobula,roi_field,
50973,medulla,roi_field,
50974,medulla,roi_field,
50976,medulla,roi_field,
50977,medulla,roi_field,
50978,medulla,roi_field,
50979,medulla,roi_field,
50983,medulla,roi_field,
50986,medulla,roi_field,
50988,medulla,roi_field,
50990,medulla,roi_field,
50993,medulla,roi_field,
50994,medulla,roi_field,
50998,medulla,roi_field,
51002,lobula,roi_field,
51004,medulla,roi_field,
51006,lobula_plate,roi_field,
51007,medulla,roi_field,
51009,medulla,roi_field,
51012,medulla,roi_field,
51017,lobula,roi_field,
51022,medulla,roi_field,
51026,lobula,roi_field,
51034,medulla,roi_field,
51038,medulla,roi_field,
51039,medulla,roi_field,
51041,lobula,roi_field,
51045,lobula_plate,roi_field,
51048,medulla,roi_field,
51049,medulla,roi_field,
51050,medulla,roi_field,
51051,medulla,roi_field,
51058,medulla,roi_field,
51061,medulla,roi_field,
51062,lobula,roi_field,
51063,medulla,roi_field,
51064,medulla,roi_field,
51067,medulla,roi_field,
51069,medulla,roi_field,
51071,medulla,roi_field,
51073,medulla,roi_field,
51075,medulla,roi_field,
51077,medulla,roi_field,
51078,medulla,roi_field,
51079,medulla,roi_field,
51080,lobula,roi_field,
51081,medulla,roi_field,
51082,medulla,roi_field,
51086,lobula,roi_field,
51088,medulla,roi_field,
51089,medulla,roi_field,
51091,medulla,roi_field,
51092,medulla,roi_field,
51102,medulla,roi_field,
51105,lobula,roi_field,
51107,lobula,roi_field,
51109,lobula,roi_field,
51115,medulla,roi_field,
51117,medulla,roi_field,
51119,medulla,roi_field,
51120,medulla,roi_field,
51123,medulla,roi_field,
51125,medulla,roi_field,
51131,medulla,roi_field,
51132,medulla,roi_field,
51133,lobula,roi_field,
51134,lobula_plate,roi_field,
51135,lobula,roi_field,
51137,lobula,roi_field,
51142,medulla,roi_field,
51143,lobula,roi_field,
51144,medulla,roi_field,
51147,lobula,roi_field,
51148,medulla,roi_field,
51149,medulla,roi_field,
51152,medulla,roi_field,
51153,medulla,roi_field,
51156,medulla,roi_field,
51158,medulla,roi_field,
51161,medulla,roi_field,
51164,medulla,roi_field,
51165,medulla,roi_field,
51166,lobula_plate,roi_field,
51167,lobula,roi_field,
51169,medulla,roi_field,
51170,medulla,roi_field,
51171,lobula,roi_field,
51172,medulla,roi_field,
51173,medulla,roi_field,
51178,medulla,roi_field,
51180,lobula_plate,roi_field,
51182,lobula,roi_field,
51189,medulla,roi_field,
51191,medulla,roi_field,
51193,medulla,roi_field,
51196,medulla,roi_field,
51197,medulla,roi_field,
51199,medulla,roi_field,
51202,lobula,roi_field,
51209,unknown,none,
51210,lobula,roi_field,
51211,medulla,roi_field,
51214,medulla,roi_field,
51215,medulla,roi_field,
51216,medulla,roi_field,
51217,medulla,roi_field,
51220,lobula,roi_field,
51221,medulla,roi_field,
51222,lobula_plate,roi_field,
51225,medulla,roi_field,
51227,medulla,roi_field,
51229,medulla,roi_field,
51231,medulla,roi_field,
51232,medulla,roi_field,
51233,medulla,roi_field,
51236,medulla,roi_field,
51237,lobula,roi_field,
51238,medulla,roi_field,
51239,medulla,roi_field,
51242,medulla,roi_field,
51243,medulla,roi_field,
51246,medulla,roi_field,
51247,medulla,roi_field,
51248,medulla,roi_field,
51251,lobula_plate,roi_field,
51258,medulla,roi_field,
51259,medulla,roi_field,
51261,lobula,roi_field,
51262,medulla,roi_field,
51266,medulla,roi_field,
51268,medulla,roi_field,
51269,lobula,roi_field,
51271,lobula_plate,roi_field,
51277,medulla,roi_field,
51278,lobula,roi_field,
51279,medulla,roi_field,
51282,lobula_plate,roi_field,
51284,medulla,roi_field,
51288,lobula_plate,roi_field,
51289,lobula_plate,roi_field,
51291,medulla,roi_field,
51293,medulla,roi_field,
51296,medulla,roi_field,
51297,medulla,roi_field,
51298,medulla,roi_field,
51300,lobula,roi_field,
51301,medulla,roi_field,
51305,lobula,roi_field,
51306,medulla,roi_field,
51311,medulla,roi_field,
51312,medulla,roi_field,
51313,medulla,roi_field,
51317,medulla,roi_field,
51320,medulla,roi_field,
51325,lobula,roi_field,
51331,lobula,roi_field,
51332,lobula,roi_field,
51333,medulla,roi_field,
51338,lobula,roi_field,
51339,lobula_plate,roi_field,
51342,lobula_plate,roi_field,
51343,medulla,roi_field,
51345,medulla,roi_field,
51347,lobula,roi_field,
51348,medulla,roi_field,
51349,lobula,roi_field,
51352,medulla,roi_field,
51353,medulla,roi_field,
51355,medulla,roi_field,
51356,medulla,roi_field,
51366,medulla,roi_field,
51367,medulla,roi_field,
51370,medulla,roi_field,
51371,medulla,roi_field,
51374,lobula_plate,roi_field,
51375,medulla,roi_field,
51376,medulla,roi_field,
51377,lobula_plate,roi_field,
51387,medulla,roi_field,
51390,lobula,roi_field,
51392,lobula,roi_field,
51397,lobula,roi_field,
51398,lobula,roi_field,
51399,lobula,roi_field,
51400,lobula,roi_field,
51402,medulla,roi_field,
51406,lobula,roi_field,
51414,lobula_plate,roi_field,
51415,medulla,roi_field,
51417,medulla,roi_field,
51419,medulla,roi_field,
51422,medulla,roi_field,
51423,lobula,roi_field,
51427,lobula,roi_field,
51432,lobula,roi_field,
51436,medulla,roi_field,
51440,medulla,roi_field,
51442,medulla,roi_field,
51443,lobula,roi_field,
51445,medulla,roi_field,
51447,medulla,roi_field,
51452,medulla,roi_field,
51453,lobula,roi_field,
51456,medulla,roi_field,
51457,medulla,roi_field,
51461,medulla,roi_field,
51464,lobula,roi_field,
51466,medulla,roi_field,
51467,medulla,roi_field,
51470,unknown,none,
51471,medulla,roi_field,
51472,medulla,roi_field,
51473,medulla,roi_field,
